verb,ich_prsens,du_prsens,er_prsens,wir_prsens,ihr_prsens,sie_prsens,ich_prteritum,du_prteritum,er_prteritum,wir_prteritum,ihr_prteritum,sie_prteritum,ich_perfekt,du_perfekt,er_perfekt,wir_perfekt,ihr_perfekt,sie_perfekt,ich_plusquamperfekt,du_plusquamperfekt,er_plusquamperfekt,wir_plusquamperfekt,ihr_plusquamperfekt,sie_plusquamperfekt,ich_futuri,du_futuri,er_futuri,wir_futuri,ihr_futuri,sie_futuri,ich_futurii,du_futurii,er_futurii,wir_futurii,ihr_futurii,sie_futurii,ich_konjunktivi,du_konjunktivi,er_konjunktivi,wir_konjunktivi,ihr_konjunktivi,sie_konjunktivi,ich_konjunktivii,du_konjunktivii,er_konjunktivii,wir_konjunktivii,ihr_konjunktivii,sie_konjunktivii,ich_konjunktiv_perfekt,du_konjunktiv_perfekt,er_konjunktiv_perfekt,wir_konjunktiv_perfekt,ihr_konjunktiv_perfekt,sie_konjunktiv_perfekt,ich_konjunktiv_plusquamperfekt,du_konjunktiv_plusquamperfekt,er_konjunktiv_plusquamperfekt,wir_konjunktiv_plusquamperfekt,ihr_konjunktiv_plusquamperfekt,sie_konjunktiv_plusquamperfekt,ich_konjunktiv_futur1,du_konjunktiv_futur1,er_konjunktiv_futur1,wir_konjunktiv_futur1,ihr_konjunktiv_futur1,sie_konjunktiv_futur1,ich_konjunktiv_futur2,du_konjunktiv_futur2,er_konjunktiv_futur2,wir_konjunktiv_futur2,ihr_konjunktiv_futur2,sie_konjunktiv_futur2,infinitiv1_form1,infinitiv1_form2,infinitiv2_form1,infinitiv2_form2,partizip1,partizip2,imperativ_du,imperativ_wir,imperativ_ihr,imperativ_sie
ablaufen,laufe ab,läufst ab,läuft ab,laufen ab,lauft ab,laufen ab,lief ab,liefst ab,lief ab,liefen ab,lieft ab,liefen ab,habe abgelaufen,hast abgelaufen,hat abgelaufen,haben abgelaufen,habt abgelaufen,haben abgelaufen,hatte abgelaufen,hattest abgelaufen,hatte abgelaufen,hatten abgelaufen,hattet abgelaufen,hatten abgelaufen,werde ablaufen,wirst ablaufen,wird ablaufen,werden ablaufen,werdet ablaufen,werden ablaufen,werde abgelaufen haben,wirst abgelaufen haben,wird abgelaufen haben,werden abgelaufen haben,werdet abgelaufen haben,werden abgelaufen haben,laufe ab,laufest ab,laufe ab,laufen ab,laufet ab,laufen ab,liefe ab,liefest ab,liefe ab,liefen ab,liefet ab,liefen ab,habe abgelaufen,habest abgelaufen,habe abgelaufen,haben abgelaufen,habet abgelaufen,haben abgelaufen,hätte abgelaufen,hättest abgelaufen,hätte abgelaufen,hätten abgelaufen,hättet abgelaufen,hätten abgelaufen,werde ablaufen,werdest ablaufen,werde ablaufen,werden ablaufen,werdet ablaufen,werden ablaufen,werde abgelaufen haben,werdest abgelaufen haben,werde abgelaufen haben,werden abgelaufen haben,werdet abgelaufen haben,werden abgelaufen haben,ablaufen,abzulaufen,abgelaufen haben,abgelaufen zu haben,ablaufend,abgelaufen,laufe du ab,laufen wir ab,lauft ihr ab,laufen Sie ab
unterbrechen,unterbreche,unterbrichst,unterbricht,unterbrechen,unterbrecht,unterbrechen,unterbrach,unterbrachst,unterbrach,unterbrachen,unterbracht,unterbrachen,habe unterbrochen,hast unterbrochen,hat unterbrochen,haben unterbrochen,habt unterbrochen,haben unterbrochen,hatte unterbrochen,hattest unterbrochen,hatte unterbrochen,hatten unterbrochen,hattet unterbrochen,hatten unterbrochen,werde unterbrechen,wirst unterbrechen,wird unterbrechen,werden unterbrechen,werdet unterbrechen,werden unterbrechen,werde unterbrochen haben,wirst unterbrochen haben,wird unterbrochen haben,werden unterbrochen haben,werdet unterbrochen haben,werden unterbrochen haben,unterbreche,unterbrechest,unterbreche,unterbrechen,unterbrechet,unterbrechen,unterbräche,unterbrächest,unterbräche,unterbrächen,unterbrächet,unterbrächen,habe unterbrochen,habest unterbrochen,habe unterbrochen,haben unterbrochen,habet unterbrochen,haben unterbrochen,hätte unterbrochen,hättest unterbrochen,hätte unterbrochen,hätten unterbrochen,hättet unterbrochen,hätten unterbrochen,werde unterbrechen,werdest unterbrechen,werde unterbrechen,werden unterbrechen,werdet unterbrechen,werden unterbrechen,werde unterbrochen haben,werdest unterbrochen haben,werde unterbrochen haben,werden unterbrochen haben,werdet unterbrochen haben,werden unterbrochen haben,unterbrechen,zu unterbrechen,unterbrochen haben,unterbrochen zu haben,unterbrechend,unterbrochen,unterbrich du,unterbrechen wir,unterbrecht ihr,unterbrechen Sie
bewilligen,bewillige,bewilligst,bewilligt,bewilligen,bewilligt,bewilligen,bewilligte,bewilligtest,bewilligte,bewilligten,bewilligtet,bewilligten,habe bewilligt,hast bewilligt,hat bewilligt,haben bewilligt,habt bewilligt,haben bewilligt,hatte bewilligt,hattest bewilligt,hatte bewilligt,hatten bewilligt,hattet bewilligt,hatten bewilligt,werde bewilligen,wirst bewilligen,wird bewilligen,werden bewilligen,werdet bewilligen,werden bewilligen,werde bewilligt haben,wirst bewilligt haben,wird bewilligt haben,werden bewilligt haben,werdet bewilligt haben,werden bewilligt haben,bewillige,bewilligest,bewillige,bewilligen,bewilliget,bewilligen,bewilligte,bewilligtest,bewilligte,bewilligten,bewilligtet,bewilligten,habe bewilligt,habest bewilligt,habe bewilligt,haben bewilligt,habet bewilligt,haben bewilligt,hätte bewilligt,hättest bewilligt,hätte bewilligt,hätten bewilligt,hättet bewilligt,hätten bewilligt,werde bewilligen,werdest bewilligen,werde bewilligen,werden bewilligen,werdet bewilligen,werden bewilligen,werde bewilligt haben,werdest bewilligt haben,werde bewilligt haben,werden bewilligt haben,werdet bewilligt haben,werden bewilligt haben,bewilligen,zu bewilligen,bewilligt haben,bewilligt zu haben,bewilligend,bewilligt,bewillige du,bewilligen wir,bewilligt ihr,bewilligen Sie
fallen,falle,fällst,fällt,fallen,fallt,fallen,fiel,fielst,fiel,fielen,fielt,fielen,bin gefallen,bist gefallen,ist gefallen,sind gefallen,seid gefallen,sind gefallen,war gefallen,warst gefallen,war gefallen,waren gefallen,wart gefallen,waren gefallen,werde fallen,wirst fallen,wird fallen,werden fallen,werdet fallen,werden fallen,werde gefallen sein,wirst gefallen sein,wird gefallen sein,werden gefallen sein,werdet gefallen sein,werden gefallen sein,falle,fallest,falle,fallen,fallet,fallen,fiele,fielest,fiele,fielen,fielet,fielen,sei gefallen,seiest gefallen,sei gefallen,seien gefallen,seiet gefallen,seien gefallen,wäre gefallen,wärest gefallen,wäre gefallen,wären gefallen,wäret gefallen,wären gefallen,werde fallen,werdest fallen,werde fallen,werden fallen,werdet fallen,werden fallen,werde gefallen sein,werdest gefallen sein,werde gefallen sein,werden gefallen sein,werdet gefallen sein,werden gefallen sein,fallen,zu fallen,gefallen sein,gefallen zu sein,fallend,gefallen,falle du,fallen wir,fallt ihr,fallen Sie
aushelfen,helfe aus,hilfst aus,hilft aus,helfen aus,helft aus,helfen aus,half aus,halfst aus,half aus,halfen aus,halft aus,halfen aus,habe ausgeholfen,hast ausgeholfen,hat ausgeholfen,haben ausgeholfen,habt ausgeholfen,haben ausgeholfen,hatte ausgeholfen,hattest ausgeholfen,hatte ausgeholfen,hatten ausgeholfen,hattet ausgeholfen,hatten ausgeholfen,werde aushelfen,wirst aushelfen,wird aushelfen,werden aushelfen,werdet aushelfen,werden aushelfen,werde ausgeholfen haben,wirst ausgeholfen haben,wird ausgeholfen haben,werden ausgeholfen haben,werdet ausgeholfen haben,werden ausgeholfen haben,helfe aus,helfest aus,helfe aus,helfen aus,helfet aus,helfen aus,hülfe/hälfe aus,hülfest/hälfest aus,hülfe/hälfe aus,hülfen/hälfen aus,hülfet/hälfet aus,hülfen/hälfen aus,habe ausgeholfen,habest ausgeholfen,habe ausgeholfen,haben ausgeholfen,habet ausgeholfen,haben ausgeholfen,hätte ausgeholfen,hättest ausgeholfen,hätte ausgeholfen,hätten ausgeholfen,hättet ausgeholfen,hätten ausgeholfen,werde aushelfen,werdest aushelfen,werde aushelfen,werden aushelfen,werdet aushelfen,werden aushelfen,werde ausgeholfen haben,werdest ausgeholfen haben,werde ausgeholfen haben,werden ausgeholfen haben,werdet ausgeholfen haben,werden ausgeholfen haben,aushelfen,auszuhelfen,ausgeholfen haben,ausgeholfen zu haben,aushelfend,ausgeholfen,hilf du aus,helfen wir aus,helft ihr aus,helfen Sie aus
aufhören,höre auf,hörst auf,hört auf,hören auf,hört auf,hören auf,hörte auf,hörtest auf,hörte auf,hörten auf,hörtet auf,hörten auf,habe aufgehört,hast aufgehört,hat aufgehört,haben aufgehört,habt aufgehört,haben aufgehört,hatte aufgehört,hattest aufgehört,hatte aufgehört,hatten aufgehört,hattet aufgehört,hatten aufgehört,werde aufhören,wirst aufhören,wird aufhören,werden aufhören,werdet aufhören,werden aufhören,werde aufgehört haben,wirst aufgehört haben,wird aufgehört haben,werden aufgehört haben,werdet aufgehört haben,werden aufgehört haben,höre auf,hörest auf,höre auf,hören auf,höret auf,hören auf,hörte auf,hörtest auf,hörte auf,hörten auf,hörtet auf,hörten auf,habe aufgehört,habest aufgehört,habe aufgehört,haben aufgehört,habet aufgehört,haben aufgehört,hätte aufgehört,hättest aufgehört,hätte aufgehört,hätten aufgehört,hättet aufgehört,hätten aufgehört,werde aufhören,werdest aufhören,werde aufhören,werden aufhören,werdet aufhören,werden aufhören,werde aufgehört haben,werdest aufgehört haben,werde aufgehört haben,werden aufgehört haben,werdet aufgehört haben,werden aufgehört haben,aufhören,aufzuhören,aufgehört haben,aufgehört zu haben,aufhörend,aufgehört,höre du auf,hören wir auf,hört ihr auf,hören Sie auf
segeln,segele,segelst,segelt,segeln,segelt,segeln,segelte,segeltest,segelte,segelten,segeltet,segelten,habe gesegelt,hast gesegelt,hat gesegelt,haben gesegelt,habt gesegelt,haben gesegelt,hatte gesegelt,hattest gesegelt,hatte gesegelt,hatten gesegelt,hattet gesegelt,hatten gesegelt,werde segeln,wirst segeln,wird segeln,werden segeln,werdet segeln,werden segeln,werde gesegelt haben,wirst gesegelt haben,wird gesegelt haben,werden gesegelt haben,werdet gesegelt haben,werden gesegelt haben,segele,segelst,segele,segeln,segelt,segeln,segelte,segeltest,segelte,segelten,segeltet,segelten,habe gesegelt,habest gesegelt,habe gesegelt,haben gesegelt,habet gesegelt,haben gesegelt,hätte gesegelt,hättest gesegelt,hätte gesegelt,hätten gesegelt,hättet gesegelt,hätten gesegelt,werde segeln,werdest segeln,werde segeln,werden segeln,werdet segeln,werden segeln,werde gesegelt haben,werdest gesegelt haben,werde gesegelt haben,werden gesegelt haben,werdet gesegelt haben,werden gesegelt haben,segeln,zu segeln,gesegelt haben,gesegelt zu haben,segelnd,gesegelt,segele du,segeln wir,segelt ihr,segeln Sie
fahren,fahre,fährst,fährt,fahren,fahrt,fahren,fuhr,fuhrst,fuhr,fuhren,fuhrt,fuhren,habe gefahren,hast gefahren,hat gefahren,haben gefahren,habt gefahren,haben gefahren,hatte gefahren,hattest gefahren,hatte gefahren,hatten gefahren,hattet gefahren,hatten gefahren,werde fahren,wirst fahren,wird fahren,werden fahren,werdet fahren,werden fahren,werde gefahren haben,wirst gefahren haben,wird gefahren haben,werden gefahren haben,werdet gefahren haben,werden gefahren haben,fahre,fahrest,fahre,fahren,fahret,fahren,führe,führest,führe,führen,führet,führen,habe gefahren,habest gefahren,habe gefahren,haben gefahren,habet gefahren,haben gefahren,hätte gefahren,hättest gefahren,hätte gefahren,hätten gefahren,hättet gefahren,hätten gefahren,werde fahren,werdest fahren,werde fahren,werden fahren,werdet fahren,werden fahren,werde gefahren haben,werdest gefahren haben,werde gefahren haben,werden gefahren haben,werdet gefahren haben,werden gefahren haben,fahren,zu fahren,gefahren haben,gefahren zu haben,fahrend,gefahren,fahre du,fahren wir,fahrt ihr,fahren Sie
zulassen,lasse zu,lässt zu,lässt zu,lassen zu,lasst zu,lassen zu,ließ zu,ließest zu,ließ zu,ließen zu,ließet zu,ließen zu,habe zugelassen,hast zugelassen,hat zugelassen,haben zugelassen,habt zugelassen,haben zugelassen,hatte zugelassen,hattest zugelassen,hatte zugelassen,hatten zugelassen,hattet zugelassen,hatten zugelassen,werde zulassen,wirst zulassen,wird zulassen,werden zulassen,werdet zulassen,werden zulassen,werde zugelassen haben,wirst zugelassen haben,wird zugelassen haben,werden zugelassen haben,werdet zugelassen haben,werden zugelassen haben,lasse zu,lassest zu,lasse zu,lassen zu,lasset zu,lassen zu,ließe zu,ließest zu,ließe zu,ließen zu,ließet zu,ließen zu,habe zugelassen,habest zugelassen,habe zugelassen,haben zugelassen,habet zugelassen,haben zugelassen,hätte zugelassen,hättest zugelassen,hätte zugelassen,hätten zugelassen,hättet zugelassen,hätten zugelassen,werde zulassen,werdest zulassen,werde zulassen,werden zulassen,werdet zulassen,werden zulassen,werde zugelassen haben,werdest zugelassen haben,werde zugelassen haben,werden zugelassen haben,werdet zugelassen haben,werden zugelassen haben,zulassen,zuzulassen,zugelassen haben,zugelassen zu haben,zulassend,zugelassen,lasse du zu,lassen wir zu,lasst ihr zu,lassen Sie zu
einführen,führe ein,führst ein,führt ein,führen ein,führt ein,führen ein,führte ein,führtest ein,führte ein,führten ein,führtet ein,führten ein,habe eingeführt,hast eingeführt,hat eingeführt,haben eingeführt,habt eingeführt,haben eingeführt,hatte eingeführt,hattest eingeführt,hatte eingeführt,hatten eingeführt,hattet eingeführt,hatten eingeführt,werde einführen,wirst einführen,wird einführen,werden einführen,werdet einführen,werden einführen,werde eingeführt haben,wirst eingeführt haben,wird eingeführt haben,werden eingeführt haben,werdet eingeführt haben,werden eingeführt haben,führe ein,führest ein,führe ein,führen ein,führet ein,führen ein,führte ein,führtest ein,führte ein,führten ein,führtet ein,führten ein,habe eingeführt,habest eingeführt,habe eingeführt,haben eingeführt,habet eingeführt,haben eingeführt,hätte eingeführt,hättest eingeführt,hätte eingeführt,hätten eingeführt,hättet eingeführt,hätten eingeführt,werde einführen,werdest einführen,werde einführen,werden einführen,werdet einführen,werden einführen,werde eingeführt haben,werdest eingeführt haben,werde eingeführt haben,werden eingeführt haben,werdet eingeführt haben,werden eingeführt haben,einführen,einzuführen,eingeführt haben,eingeführt zu haben,einführend,eingeführt,führe du ein,führen wir ein,führt ihr ein,führen Sie ein
